name,profile_type,summary,contacts,source_links,match_justification,tier,current_company,current_role,confidence_score
Mock: Jennifer Wu,technical,Biotech engineer and Stanford PhD with strong founder signals (Founder & CTO). Extensive experience in AI-powered drug discovery and research at Genentech.,https://linkedin.com/in/mock-jenniferwu,https://linkedin.com/in/mock-jenniferwu,"Jennifer demonstrates multiple founder signals as Founder & CTO of BioAI Labs, indicating previous startup experience. Her background as a Biotech engineer with a Stanford PhD and 20+ publications in Nature/Science shows clear industry expertise and significant experience.  The CTO role implies strong technical expertise, fulfilling the 'full-stack development' requirement (given the context of leading a tech-focused startup). Her current role as CTO at a startup displays both strong technical skills and startup leadership.  Finally, her work at Genentech further solidifies her experience in the healthcare industry.",A,BioAI Labs (Mock Company),Founder & CTO (Mock Profile),0.95
"Dr. Youssef Aboufandi, MD",business,Physician founder leveraging AI/ML in healthcare.  Demonstrates entrepreneurial leadership by founding an AI-powered healthcare company.,https://www.linkedin.com/in/y0ussef,https://www.linkedin.com/in/y0ussef,"Dr. Aboufandi meets the industry requirement with his medical background and focus on AI in healthcare. His current role as Founder of an AI-powered healthcare company fulfills the 'Previous startup experience' founder signal.  However, there's no information about his total years of experience, making it difficult to confirm the 10-year requirement.  Additionally, the 'Full-stack development' technical signal is not present. While his MD and focus on AI suggest some technical aptitude, it doesn't explicitly confirm full-stack development skills.",B,Unknown Company,Doctor → Founder of Ai-Powered.Healthcare,0.7
Mock: Robert Johnson,business,Serial founder with $500M+ in exits and extensive enterprise software experience.  Currently chairman at four B2B software startups.,https://linkedin.com/in/mock-robertjohnson,https://linkedin.com/in/mock-robertjohnson,"Robert demonstrates strong founder signals, exceeding the 'previous startup experience' requirement by having founded and exited three companies. His experience in enterprise software is valuable, though it lacks a specific healthcare focus.  While his chairman roles indicate ongoing involvement with startups, they don't provide the same level of operational experience as a CEO/CTO.  He also lacks the required 'full-stack development' technical signal.  His overall profile is impressive, but the lack of industry and technical match prevents a Tier A ranking.",B,Enterprise Software Co (Mock Company),Serial Founder & Board Chairman (Mock Profile),0.75
Mock: Klaus Mueller,technical,"Experienced founder with a successful exit in the IoT space and a PhD from Technical University Munich. Expertise in industrial automation and Industry 4.0, applicable to connected healthcare solutions.",https://linkedin.com/in/mock-klausmueller,https://linkedin.com/in/mock-klausmueller,"Klaus demonstrates strong founder signals with a previous startup acquisition by Siemens. His background in industrial automation and Industry 4.0 technologies holds relevance for the healthcare industry, particularly in areas like connected medical devices and automated systems. While his experience is substantial, the industry match isn't perfect, lacking explicit healthcare experience.  The required 'full-stack development' signal is not present, lowering the overall match.  His PhD and Chief Engineer role suggest strong technical capabilities, but not specifically full-stack.",B,German Innovation Labs (Mock Company),Founder & Chief Engineer (Mock Profile),0.7
Mock: Michael Brown,technical,Experienced co-founder with a strong technical background in distributed systems and cybersecurity at a cloud infrastructure company.,https://linkedin.com/in/mock-michaelbrown,https://linkedin.com/in/mock-michaelbrown,"Michael meets the experience requirement (10+ years) and the founder signal (co-founder experience). His cloud infrastructure background is adjacent to healthcare, suggesting potential relevance. However, he lacks specific healthcare industry experience and the required full-stack development signal. While his VP Engineering role implies strong technical skills, it doesn't explicitly confirm full-stack development expertise.",B,Cloud Infrastructure Inc (Mock Company),Co-founder & VP Engineering (Mock Profile),0.7
Mock: Marcus Rodriguez,technical,Highly experienced technical leader with 15 years in fintech and 2 successful exits. CTO & Co-founder with strong blockchain expertise.,https://linkedin.com/in/mock-marcusrodriguez,https://linkedin.com/in/mock-marcusrodriguez,"Marcus possesses strong founder signals as a CTO & Co-founder with previous startup experience, exceeding the minimum requirement. His 15 years of experience building financial platforms demonstrates significant experience, although it's not a direct match to the healthcare industry. While his CTO role implies technical expertise, it's unclear if he possesses the required full-stack development skills. Overall, a strong profile slightly downgraded due to the industry mismatch and uncertainty around the specific technical skill.",B,BlockChain Ventures (Mock Company),CTO & Technical Co-founder (Mock Profile),0.75
Luca Foresti,business,Founder of First Principles SRL based in Milan.  Entrepreneurial leadership experience demonstrates founder signal.,https://www.linkedin.com/in/lforesti,https://www.linkedin.com/in/lforesti,"Luca Foresti meets the 'Previous startup experience' criteria through his founder role. However, there is no information about the industry of First Principles SRL, his specific experience within the company, or the length of his experience.  No technical signals are present.  Lack of information prevents a higher tier assignment.",C,First Principles SRL,Founder presso First Principles SRL,0.45
Brittany Rowles,business,"Recruiter specializing in healthtech startups, suggesting familiarity with the startup ecosystem.  Focus on health equity demonstrates alignment with the healthcare industry.",https://www.linkedin.com/in/brittanyrowles,https://www.linkedin.com/in/brittanyrowles,"Brittany works within the healthcare industry as a recruiter focused on healthtech startups. This implies some familiarity with startup environments and potentially some founder-adjacent experience. However, there is no explicit mention of prior startup experience as a founder or in a technical role.  Her profile lacks clear indicators of 10 years of experience and there are no technical signals like full-stack development.  While her current role suggests proximity to founders, it doesn't confirm the required founder signal.",C,Pair Team 🔰 Healthtech Startup Recruiter,"""Rowles fills roles!"" | Hiring for Health Equity @ Pair Team 🔰 Healthtech Startup Recruiter | Passionate about food & sustainability",0.45
Mock: Maria Santos,business,Serial entrepreneur with 14 years of experience and $200M+ raised in the clean energy sector.  Founded two renewable energy companies and holds board positions at five cleantech startups.,https://linkedin.com/in/mock-mariasantos,https://linkedin.com/in/mock-mariasantos,"Maria demonstrates strong founder signals by having founded two companies and raising significant capital.  She also surpasses the 10 years of required experience. However, her experience is exclusively in clean energy, which doesn't align with the healthcare industry requirement.  Additionally, she lacks the required technical signal of full-stack development.",C,CleanTech Ventures (Mock Company),Founder & President (Mock Profile),0.5
Mock: Pierre Dubois,business,INSEAD MBA and ex-Goldman Sachs professional with two fintech startups under his belt. Extensive experience in financial regulations and cross-border payments.,https://linkedin.com/in/mock-pierredubois,https://linkedin.com/in/mock-pierredubois,"Pierre demonstrates strong founder signals by having co-founded two fintech companies.  However, his experience is firmly within the financial technology sector, not healthcare. While he surpasses the 10 years of experience requirement, the lack of industry alignment and absence of required technical skills (full-stack development) significantly lower his match score.",C,European Fintech Hub (Mock Company),Co-founder & Managing Director (Mock Profile),0.45
